age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,services,married,secondary,no,264,yes,yes,cellular,19,nov,1502,1,-1,0,unknown,yes
35,admin.,single,secondary,no,-32,no,yes,cellular,9,feb,63,4,182,5,failure,yes
28,management,single,tertiary,no,437,no,no,cellular,5,may,338,1,-1,0,unknown,yes
37,student,single,unknown,no,444,no,no,cellular,14,aug,137,1,102,5,success,yes
29,management,married,secondary,no,231,no,no,cellular,14,may,1075,1,14,1,failure,yes
76,retired,married,primary,no,1492,no,no,telephone,3,nov,383,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,4321,no,no,cellular,5,jun,657,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,3,-1,0,unknown,yes
55,blue-collar,married,unknown,no,890,no,no,cellular,22,aug,1329,2,-1,0,unknown,yes
37,management,married,tertiary,no,393,yes,no,cellular,14,may,567,3,275,4,failure,yes
51,management,married,tertiary,no,469,no,no,cellular,14,oct,491,1,182,3,success,yes
49,technician,married,secondary,no,905,no,no,cellular,5,jun,1543,1,-1,0,unknown,yes
25,management,married,secondary,no,2228,yes,no,cellular,23,jul,754,1,-1,0,unknown,yes
71,retired,divorced,secondary,no,0,no,no,cellular,26,feb,771,1,171,1,success,yes
36,admin.,married,secondary,no,212,yes,yes,cellular,23,jul,1201,6,-1,0,unknown,yes
60,retired,married,secondary,no,1853,no,no,cellular,10,feb,234,1,183,1,success,yes
35,technician,married,secondary,no,2779,no,no,cellular,22,oct,118,2,-1,0,unknown,yes
59,services,divorced,secondary,no,1,yes,no,cellular,28,jan,602,1,253,5,other,yes
57,admin.,single,secondary,no,3551,yes,no,cellular,12,may,458,1,-1,0,unknown,yes
37,management,married,tertiary,no,3737,no,no,cellular,7,jul,224,1,-1,0,unknown,yes
51,technician,married,secondary,no,-1944,yes,no,cellular,7,may,623,1,-1,0,unknown,yes
32,self-employed,married,tertiary,no,1423,no,no,cellular,6,aug,1249,4,-1,0,unknown,yes
24,management,single,tertiary,no,1506,no,no,cellular,12,jun,239,2,95,4,success,yes
27,technician,single,secondary,no,643,no,no,cellular,13,jul,317,1,-1,0,unknown,yes
32,management,married,tertiary,no,2465,yes,yes,cellular,7,may,923,1,-1,0,unknown,yes
24,student,single,primary,no,1235,no,no,cellular,14,jul,334,4,93,6,other,yes
70,retired,divorced,primary,no,482,no,no,telephone,14,jan,372,1,196,2,success,yes
34,blue-collar,married,secondary,no,320,yes,no,cellular,12,aug,352,1,828,2,failure,yes
33,entrepreneur,single,tertiary,no,300,yes,yes,cellular,30,jan,922,5,-1,0,unknown,yes
50,entrepreneur,married,tertiary,no,230,no,no,telephone,30,jul,1089,4,-1,0,unknown,yes
29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes
54,unknown,married,unknown,no,895,no,no,cellular,7,oct,335,1,-1,0,unknown,yes
36,housemaid,married,primary,no,78,yes,no,telephone,30,jul,2692,9,-1,0,unknown,yes
40,unemployed,single,tertiary,no,7968,no,no,cellular,3,sep,733,1,93,1,success,yes
39,management,married,tertiary,no,494,no,no,cellular,10,mar,106,2,478,3,failure,yes
54,management,married,primary,no,2587,no,no,cellular,2,jun,236,2,-1,0,unknown,yes
30,management,single,tertiary,no,232,no,no,cellular,15,jul,219,1,91,1,success,yes
39,management,single,tertiary,no,763,no,no,cellular,22,feb,543,1,189,1,failure,yes
45,blue-collar,married,unknown,no,1529,yes,no,cellular,13,nov,181,1,197,1,success,yes
35,technician,single,secondary,no,344,no,no,cellular,27,aug,519,16,-1,0,unknown,yes
39,management,married,tertiary,no,494,no,no,cellular,9,sep,216,1,183,5,success,yes
37,admin.,single,secondary,no,728,no,no,cellular,3,feb,129,1,174,2,other,yes
36,management,married,tertiary,no,673,yes,no,cellular,16,jul,689,1,-1,0,unknown,yes
35,management,married,tertiary,no,1380,no,no,cellular,23,feb,155,1,-1,0,unknown,yes
58,management,married,tertiary,no,3864,yes,no,cellular,15,jul,815,4,-1,0,unknown,yes
58,admin.,married,secondary,no,4348,yes,no,cellular,23,jun,790,4,141,1,other,yes
51,management,single,tertiary,no,151,yes,no,cellular,8,sep,638,1,427,3,success,yes
35,admin.,married,secondary,no,2,yes,no,cellular,18,mar,194,1,-1,0,unknown,yes
39,admin.,married,secondary,no,0,no,no,cellular,27,jan,366,1,436,10,failure,yes
27,admin.,single,secondary,no,261,yes,yes,cellular,3,jun,592,4,-1,0,unknown,yes
37,technician,single,tertiary,no,0,no,no,unknown,1,jul,1135,2,-1,0,unknown,yes
35,technician,married,secondary,no,-180,no,yes,cellular,13,aug,823,2,-1,0,unknown,yes
51,unemployed,married,secondary,no,1416,no,no,cellular,9,sep,345,1,-1,0,unknown,yes
41,technician,married,tertiary,no,1517,no,no,cellular,8,aug,193,3,-1,0,unknown,yes
56,blue-collar,married,primary,no,827,yes,no,telephone,15,may,462,4,-1,0,unknown,yes
27,blue-collar,single,secondary,no,535,no,no,cellular,16,nov,183,1,94,1,success,yes
31,student,single,secondary,no,3511,no,no,cellular,6,oct,311,1,96,1,success,yes
43,blue-collar,married,primary,no,3917,no,no,cellular,3,jun,725,2,93,1,success,yes
19,student,single,primary,no,608,no,no,cellular,12,may,236,1,180,2,success,yes
33,management,single,tertiary,no,0,yes,no,cellular,13,may,585,1,-1,0,unknown,yes
55,technician,divorced,tertiary,no,0,no,no,cellular,18,aug,237,1,-1,0,unknown,yes
34,services,married,secondary,no,1337,no,no,cellular,17,dec,330,2,127,3,success,yes
35,management,single,tertiary,no,2707,no,no,cellular,5,feb,699,1,-1,0,unknown,yes
53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,-1,0,unknown,yes
28,management,single,tertiary,no,957,no,no,cellular,25,may,915,2,-1,0,unknown,yes
60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jul,346,1,181,4,success,yes
20,student,single,unknown,no,2785,no,no,cellular,16,sep,327,2,-1,0,unknown,yes
48,services,divorced,secondary,no,-276,yes,yes,cellular,13,may,674,1,-1,0,unknown,yes
27,admin.,married,tertiary,no,73,no,no,cellular,10,feb,159,1,-1,0,unknown,yes
52,management,married,tertiary,no,7135,no,no,cellular,19,aug,1032,3,-1,0,unknown,yes
44,management,married,tertiary,no,1058,no,no,cellular,11,mar,188,3,-1,0,unknown,yes
47,self-employed,married,secondary,no,4420,yes,yes,cellular,20,nov,454,1,-1,0,unknown,yes
36,management,single,tertiary,no,-78,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1230,yes,no,cellular,13,may,328,2,182,3,success,yes
28,services,single,secondary,no,339,no,no,cellular,3,dec,350,1,182,1,success,yes
27,admin.,married,tertiary,no,2855,no,no,cellular,22,jul,138,2,178,4,success,yes
25,student,single,secondary,no,125,no,no,cellular,9,feb,215,1,92,2,success,yes
53,services,divorced,secondary,no,0,no,no,cellular,12,mar,80,2,-1,0,unknown,yes
41,blue-collar,single,secondary,yes,-386,no,yes,cellular,20,nov,477,1,-1,0,unknown,yes
30,services,single,tertiary,no,-477,no,yes,cellular,21,aug,1532,2,-1,0,unknown,yes
26,management,single,tertiary,no,114,yes,no,cellular,7,may,457,1,-1,0,unknown,yes
42,management,single,tertiary,no,11008,no,no,cellular,28,jul,822,6,405,1,success,yes
44,management,married,tertiary,no,7818,no,no,cellular,27,may,412,1,-1,0,unknown,yes
48,management,married,secondary,no,0,yes,yes,cellular,3,nov,1233,1,351,2,failure,yes
32,technician,single,secondary,no,540,no,yes,cellular,29,jan,750,1,-1,0,unknown,yes
25,technician,single,secondary,no,1199,no,no,cellular,1,jun,287,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,7863,yes,no,cellular,14,may,1129,1,-1,0,unknown,yes
33,technician,single,tertiary,no,258,no,no,cellular,12,mar,80,4,-1,0,unknown,yes
60,technician,married,secondary,no,259,no,no,cellular,6,jul,396,1,386,2,success,yes
53,management,divorced,tertiary,no,380,no,yes,cellular,5,jun,438,2,-1,0,unknown,yes
45,management,single,tertiary,no,4831,no,no,cellular,30,jul,852,3,182,11,success,yes
33,unemployed,married,secondary,no,-144,no,no,cellular,30,jul,481,3,-1,0,unknown,yes
26,blue-collar,single,secondary,no,5005,no,yes,cellular,3,apr,117,1,-1,0,unknown,yes
30,management,single,tertiary,no,617,no,no,cellular,27,feb,192,2,-1,0,unknown,yes
44,technician,married,secondary,no,267,no,no,cellular,22,aug,520,2,-1,0,unknown,yes
62,retired,married,secondary,no,298,no,no,cellular,17,nov,709,2,-1,0,unknown,yes
31,management,divorced,tertiary,no,883,yes,no,cellular,5,mar,112,2,106,1,failure,yes
39,management,married,tertiary,no,1836,no,no,cellular,6,aug,902,3,-1,0,unknown,yes
53,admin.,married,secondary,no,10541,no,no,cellular,9,nov,178,1,-1,0,unknown,yes
62,management,married,tertiary,no,2785,no,no,cellular,6,jul,270,3,-1,0,unknown,yes
37,admin.,married,tertiary,no,3913,yes,no,cellular,27,apr,124,1,-1,0,unknown,yes
33,admin.,married,tertiary,no,79,yes,no,cellular,5,may,389,1,195,4,success,yes
43,management,single,tertiary,no,11891,no,no,cellular,4,dec,821,5,242,1,success,yes
29,student,single,tertiary,no,5,no,no,cellular,15,jul,889,5,-1,0,unknown,yes
67,management,married,tertiary,no,405,no,no,cellular,10,nov,344,2,95,2,success,yes
28,technician,single,tertiary,no,387,yes,no,cellular,20,apr,205,1,82,1,failure,yes
36,services,single,tertiary,no,1189,no,no,cellular,17,aug,220,1,-1,0,unknown,yes
31,management,single,tertiary,no,11821,no,no,cellular,18,aug,384,11,-1,0,unknown,yes
60,services,married,tertiary,no,4256,yes,no,cellular,16,nov,200,1,92,4,success,yes
33,services,divorced,secondary,no,1117,no,no,cellular,2,jun,417,1,-1,0,unknown,yes
31,management,single,tertiary,no,3384,no,no,cellular,22,mar,247,3,187,3,success,yes
60,blue-collar,married,primary,no,5,no,no,cellular,29,oct,401,1,-1,0,unknown,yes
55,management,divorced,tertiary,no,2383,no,no,cellular,5,aug,1019,2,63,2,success,yes
45,technician,married,secondary,no,879,no,no,cellular,7,jul,621,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,0,yes,no,cellular,16,apr,1174,1,345,4,other,yes
39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,574,3,-1,0,unknown,yes
60,blue-collar,divorced,secondary,no,0,yes,no,unknown,29,may,1207,1,-1,0,unknown,yes
