age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
49,services,single,secondary,no,308,yes,no,unknown,4,jun,96,3,-1,0,unknown,no
29,management,married,tertiary,no,451,no,no,cellular,4,may,54,1,96,1,failure,no
40,self-employed,married,primary,no,435,yes,yes,unknown,3,jun,131,5,-1,0,unknown,no
60,services,married,secondary,no,2858,no,no,cellular,14,aug,155,2,-1,0,unknown,no
52,management,married,tertiary,no,1295,yes,no,cellular,18,nov,121,1,123,1,other,no
26,blue-collar,single,primary,no,155,yes,no,cellular,29,jan,291,1,244,4,failure,no
27,services,married,secondary,no,100,no,no,cellular,16,jul,57,2,-1,0,unknown,no
28,admin.,married,secondary,no,170,yes,yes,unknown,21,may,492,1,-1,0,unknown,no
50,housemaid,divorced,secondary,no,0,no,no,cellular,19,nov,126,1,-1,0,unknown,no
29,services,single,secondary,no,-565,yes,no,unknown,4,jun,109,1,-1,0,unknown,no
47,management,married,tertiary,no,2597,no,no,cellular,31,jul,52,2,-1,0,unknown,no
27,admin.,single,unknown,no,861,no,no,cellular,14,jun,212,4,-1,0,unknown,yes
58,blue-collar,married,primary,no,3501,yes,no,unknown,15,may,544,3,-1,0,unknown,no
37,admin.,divorced,secondary,no,0,yes,no,unknown,30,may,127,5,-1,0,unknown,no
49,blue-collar,married,primary,no,-347,yes,yes,unknown,4,jun,213,3,-1,0,unknown,no
25,student,single,tertiary,no,326,no,no,cellular,26,may,390,1,-1,0,unknown,yes
43,entrepreneur,married,tertiary,yes,0,no,yes,telephone,29,jul,184,4,-1,0,unknown,no
33,management,married,tertiary,no,5,yes,no,unknown,7,aug,12,1,-1,0,unknown,no
59,retired,married,primary,no,-411,no,no,cellular,29,jan,225,1,-1,0,unknown,no
36,blue-collar,divorced,secondary,no,808,no,no,unknown,16,jun,163,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,1254,yes,no,cellular,15,may,133,1,353,5,other,no
39,blue-collar,married,primary,no,3324,no,no,cellular,9,jul,108,1,-1,0,unknown,no
21,student,single,secondary,no,164,no,no,cellular,19,feb,78,5,-1,0,unknown,no
39,management,single,tertiary,no,3202,yes,no,cellular,14,may,14,8,-1,0,unknown,no
43,management,married,tertiary,no,2696,yes,no,cellular,28,aug,86,10,-1,0,unknown,no
51,technician,married,secondary,no,195,yes,no,cellular,17,feb,105,1,92,1,failure,no
27,services,divorced,secondary,no,10,yes,no,cellular,22,jul,527,1,-1,0,unknown,no
27,admin.,single,secondary,no,4745,no,no,telephone,12,nov,411,4,192,1,other,yes
42,unemployed,married,secondary,no,1990,yes,yes,unknown,19,may,13,1,-1,0,unknown,no
46,technician,married,tertiary,no,0,no,no,unknown,6,jun,159,1,-1,0,unknown,no
39,services,married,secondary,no,1142,yes,no,unknown,6,may,276,1,-1,0,unknown,no
39,blue-collar,married,primary,no,245,yes,no,unknown,7,may,148,3,-1,0,unknown,no
41,blue-collar,divorced,secondary,no,-104,yes,no,unknown,16,may,32,3,-1,0,unknown,no
32,student,single,secondary,no,0,no,no,cellular,21,nov,206,1,-1,0,unknown,no
58,retired,married,primary,no,0,no,no,cellular,11,aug,566,2,-1,0,unknown,no
36,technician,single,secondary,no,1044,yes,no,cellular,20,aug,15,19,-1,0,unknown,no
46,admin.,married,secondary,no,0,no,yes,cellular,10,aug,225,1,-1,0,unknown,no
46,admin.,married,unknown,no,-1092,yes,no,cellular,12,may,75,5,-1,0,unknown,no
32,services,single,secondary,no,-198,yes,no,unknown,21,may,681,3,-1,0,unknown,yes
39,management,married,tertiary,no,15,yes,yes,cellular,21,nov,90,2,-1,0,unknown,no
57,unemployed,married,unknown,no,381,no,no,cellular,29,jan,126,1,-1,0,unknown,no
37,management,single,tertiary,no,230,yes,yes,unknown,6,may,374,1,-1,0,unknown,no
46,entrepreneur,married,secondary,no,0,no,no,cellular,29,jul,100,12,-1,0,unknown,no
53,entrepreneur,married,secondary,no,111,yes,no,cellular,20,nov,600,3,189,2,failure,no
34,blue-collar,married,secondary,no,4,yes,yes,cellular,7,may,315,2,-1,0,unknown,no
41,blue-collar,married,secondary,no,629,yes,yes,unknown,30,may,208,2,-1,0,unknown,no
27,blue-collar,single,secondary,no,87,no,no,telephone,10,jul,245,1,-1,0,unknown,no
54,blue-collar,married,secondary,no,219,yes,no,unknown,14,may,341,5,-1,0,unknown,no
57,management,married,tertiary,no,1741,no,no,cellular,24,jul,449,2,-1,0,unknown,no
45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,-1,0,unknown,yes
48,self-employed,divorced,secondary,yes,7,no,no,unknown,20,jun,633,2,-1,0,unknown,no
56,blue-collar,married,primary,no,1137,no,no,telephone,12,oct,99,3,102,1,success,no
51,management,divorced,tertiary,no,0,no,no,cellular,13,aug,60,2,-1,0,unknown,no
43,management,single,secondary,no,465,no,no,cellular,28,aug,78,12,-1,0,unknown,no
50,management,married,tertiary,no,126,yes,no,cellular,12,may,132,3,-1,0,unknown,no
46,entrepreneur,married,secondary,no,0,yes,yes,cellular,29,jul,54,16,-1,0,unknown,no
60,retired,married,secondary,yes,879,yes,yes,cellular,29,jul,62,8,-1,0,unknown,no
31,entrepreneur,single,tertiary,no,1454,no,no,cellular,17,nov,377,1,-1,0,unknown,no
38,admin.,single,secondary,yes,-61,no,yes,cellular,18,jul,102,2,-1,0,unknown,no
34,admin.,married,secondary,no,445,no,no,cellular,19,aug,256,2,-1,0,unknown,no
48,blue-collar,single,primary,no,1080,yes,no,unknown,16,jun,112,3,-1,0,unknown,no
31,technician,single,secondary,no,1094,yes,no,unknown,12,jun,93,8,-1,0,unknown,no
27,services,single,secondary,no,123,yes,no,unknown,12,may,105,3,-1,0,unknown,no
48,technician,married,secondary,no,761,no,no,cellular,21,nov,307,2,-1,0,unknown,no
32,admin.,married,tertiary,no,1,yes,yes,cellular,10,jul,143,1,-1,0,unknown,no
32,unemployed,married,secondary,no,262,no,no,cellular,29,jan,203,1,-1,0,unknown,no
30,admin.,single,secondary,no,1223,yes,no,cellular,30,jul,112,5,-1,0,unknown,no
48,technician,divorced,secondary,no,353,no,no,cellular,11,aug,132,1,-1,0,unknown,no
26,student,single,secondary,no,1608,no,no,cellular,10,aug,89,2,102,2,success,no
35,management,married,tertiary,no,841,no,no,cellular,26,aug,301,6,-1,0,unknown,no
33,management,single,tertiary,no,2059,no,no,cellular,29,aug,106,2,-1,0,unknown,no
45,management,married,tertiary,yes,-190,no,yes,cellular,26,aug,92,4,-1,0,unknown,no
83,retired,divorced,primary,no,20,no,no,cellular,27,nov,65,3,-1,0,unknown,no
43,technician,married,secondary,no,481,no,no,cellular,20,aug,196,2,-1,0,unknown,no
25,services,single,secondary,no,556,yes,yes,unknown,4,jun,361,1,-1,0,unknown,no
21,technician,single,tertiary,no,61,no,yes,cellular,8,jul,141,1,-1,0,unknown,no
47,self-employed,divorced,secondary,no,8515,yes,no,unknown,20,nov,14,7,112,4,other,no
29,technician,single,tertiary,no,354,yes,no,unknown,26,may,255,1,-1,0,unknown,no
41,admin.,married,secondary,no,442,yes,yes,unknown,9,may,344,2,-1,0,unknown,no
39,technician,single,secondary,no,300,no,no,cellular,10,sep,315,6,394,1,failure,no
82,retired,divorced,primary,no,0,no,no,telephone,15,mar,506,2,195,1,other,yes
53,management,married,primary,no,-139,no,no,cellular,9,jul,328,3,-1,0,unknown,no
45,blue-collar,married,primary,no,377,no,no,cellular,28,aug,26,23,-1,0,unknown,no
28,blue-collar,single,primary,no,722,yes,no,unknown,21,may,150,1,-1,0,unknown,no
25,entrepreneur,married,tertiary,no,37,yes,yes,unknown,8,may,453,2,-1,0,unknown,no
44,technician,married,secondary,no,1901,no,no,cellular,6,aug,165,2,-1,0,unknown,no
46,management,married,tertiary,no,0,no,no,cellular,26,may,401,1,-1,0,unknown,no
56,management,single,tertiary,no,6507,yes,yes,cellular,29,jan,134,1,196,1,failure,no
27,technician,single,secondary,no,162,no,no,unknown,26,may,265,9,-1,0,unknown,no
41,services,married,secondary,no,121,yes,no,cellular,17,apr,41,1,324,1,other,no
35,admin.,married,secondary,no,190,yes,no,unknown,20,may,47,3,-1,0,unknown,no
51,unemployed,married,secondary,no,234,no,no,cellular,22,aug,735,1,-1,0,unknown,yes
44,services,divorced,secondary,no,0,no,yes,cellular,17,jul,275,17,-1,0,unknown,no
34,technician,single,secondary,no,347,yes,no,cellular,24,jul,947,6,-1,0,unknown,no
31,student,married,primary,no,46,yes,no,cellular,10,jul,487,1,-1,0,unknown,yes
60,management,divorced,tertiary,no,2589,yes,no,unknown,19,may,134,2,-1,0,unknown,no
53,technician,married,secondary,no,7984,yes,no,cellular,2,feb,151,1,-1,0,unknown,no
42,technician,married,tertiary,no,1619,no,no,cellular,4,aug,148,1,-1,0,unknown,no
50,management,married,tertiary,no,938,no,no,cellular,6,aug,148,2,98,1,success,no
37,management,married,tertiary,no,675,no,no,cellular,26,aug,49,13,-1,0,unknown,no
42,housemaid,single,primary,no,1179,yes,no,cellular,14,may,136,1,337,4,failure,no
31,blue-collar,single,secondary,no,1291,yes,no,cellular,18,jul,72,1,-1,0,unknown,no
36,blue-collar,single,secondary,no,690,yes,no,unknown,23,may,86,2,-1,0,unknown,no
38,management,married,tertiary,no,-239,yes,no,unknown,2,jun,221,2,-1,0,unknown,no
28,management,married,tertiary,no,3516,no,no,cellular,17,jul,232,1,-1,0,unknown,no
35,self-employed,single,tertiary,no,4693,yes,no,cellular,21,nov,227,5,-1,0,unknown,no
43,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,440,1,-1,0,unknown,no
37,admin.,married,secondary,no,1283,yes,no,unknown,20,may,209,1,-1,0,unknown,no
32,technician,single,tertiary,no,502,yes,no,telephone,20,nov,442,4,-1,0,unknown,no
41,housemaid,married,primary,no,884,no,no,unknown,9,jun,322,1,-1,0,unknown,no
54,retired,divorced,tertiary,no,3076,no,no,cellular,27,may,367,2,-1,0,unknown,yes
39,management,divorced,tertiary,no,133,yes,no,unknown,28,may,136,2,-1,0,unknown,no
48,technician,married,primary,no,788,no,no,telephone,9,jul,36,2,-1,0,unknown,no
58,management,divorced,tertiary,no,5701,no,no,cellular,30,apr,354,1,87,1,success,yes
38,technician,married,tertiary,no,447,yes,no,cellular,2,feb,224,1,269,1,failure,no
35,admin.,single,secondary,no,1836,no,no,cellular,29,jan,623,2,-1,0,unknown,no
33,technician,single,secondary,no,671,no,no,cellular,8,aug,45,2,-1,0,unknown,no
38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247,2,-1,0,unknown,no
54,admin.,divorced,secondary,no,200,no,no,cellular,3,jun,170,1,-1,0,unknown,yes
61,retired,married,secondary,no,2917,no,no,cellular,6,oct,215,1,-1,0,unknown,yes
47,technician,married,tertiary,no,545,yes,no,cellular,12,aug,588,3,-1,0,unknown,no
20,student,single,secondary,no,1191,no,no,cellular,12,feb,274,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,aug,221,2,-1,0,unknown,yes
31,management,married,tertiary,no,537,yes,no,cellular,18,aug,216,1,-1,0,unknown,yes
44,blue-collar,divorced,secondary,no,1781,yes,no,cellular,29,jul,48,3,-1,0,unknown,no
33,admin.,married,secondary,no,1077,yes,no,cellular,18,may,432,3,374,3,other,no
34,technician,married,secondary,no,351,yes,no,cellular,18,jul,467,1,-1,0,unknown,no
31,admin.,single,secondary,no,437,yes,yes,unknown,4,jun,173,14,-1,0,unknown,no
36,technician,single,tertiary,no,251,yes,no,cellular,8,may,91,4,-1,0,unknown,no
31,admin.,married,secondary,no,352,no,no,telephone,28,oct,60,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,56,yes,no,unknown,23,may,66,1,-1,0,unknown,no
43,management,divorced,tertiary,no,3820,no,no,cellular,19,aug,86,5,-1,0,unknown,no
37,services,married,primary,no,52,yes,no,unknown,7,may,359,1,-1,0,unknown,no
41,entrepreneur,divorced,secondary,no,-29,yes,no,cellular,10,jul,188,1,-1,0,unknown,no
30,management,single,tertiary,no,796,no,yes,cellular,26,aug,366,13,-1,0,unknown,no
59,retired,married,secondary,no,1121,yes,no,cellular,15,jul,249,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,12697,yes,yes,unknown,19,may,95,1,-1,0,unknown,no
55,management,divorced,tertiary,no,5399,no,yes,cellular,30,apr,124,1,28,3,failure,no
34,admin.,married,secondary,no,1474,no,no,cellular,2,apr,739,2,-1,0,unknown,yes
40,management,married,tertiary,no,917,yes,no,unknown,20,may,292,1,-1,0,unknown,no
32,admin.,single,secondary,no,4344,yes,no,cellular,22,jul,159,3,-1,0,unknown,no
58,unknown,married,unknown,no,1547,no,no,telephone,5,aug,1186,4,-1,0,unknown,yes
32,admin.,married,secondary,no,198,no,no,cellular,16,jul,132,2,-1,0,unknown,no
31,management,single,tertiary,no,3142,yes,no,cellular,18,jul,164,1,-1,0,unknown,no
31,management,married,secondary,no,2019,no,no,unknown,7,may,380,2,-1,0,unknown,no
31,services,single,secondary,no,297,no,no,cellular,30,jan,229,1,-1,0,unknown,no
39,housemaid,married,unknown,no,0,no,no,cellular,26,aug,92,2,-1,0,unknown,no
49,management,married,tertiary,no,5711,yes,no,cellular,21,nov,382,3,-1,0,unknown,no
30,blue-collar,married,secondary,no,554,yes,no,cellular,29,jan,100,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,1245,yes,no,unknown,9,may,306,1,-1,0,unknown,no
37,management,married,tertiary,no,2019,yes,no,cellular,13,may,368,1,-1,0,unknown,no
27,technician,single,tertiary,no,4003,no,no,cellular,30,apr,584,1,-1,0,unknown,no
50,management,married,tertiary,no,1612,no,no,cellular,15,jun,532,2,98,2,other,yes
40,services,divorced,secondary,no,105,yes,no,unknown,6,may,189,2,-1,0,unknown,no
37,technician,married,tertiary,no,127,yes,no,cellular,25,aug,192,1,193,1,success,yes
58,entrepreneur,married,secondary,no,2,no,no,unknown,16,jun,684,1,-1,0,unknown,no
54,management,divorced,tertiary,no,427,yes,yes,cellular,4,feb,85,2,231,2,other,no
53,technician,married,tertiary,no,673,yes,no,cellular,9,jul,182,1,-1,0,unknown,no
33,admin.,married,secondary,no,258,yes,no,cellular,5,may,37,1,-1,0,unknown,no
